product_name,title,sku,price,cost,sale_price
7500-BRN-BEIG,8' x 10',7500-BLC-RED-8x10,75,40,
7501-BRN-BEIG,2' x 3',7500-BRN-BEIG-2x3,5,2.6,
7502-BRN-BEIG,2' x 5',7500-BRN-BEIG-2x5,9,5,6.75
7503-BRN-BEIG,2' x 7',7500-BRN-BEIG-2X7,11,6,8.25
7504-BRN-BEIG,3' x 5',7500-BRN-BEIG-3x5,13,7,9.75
7505-BRN-BEIG,3' x 8',7500-BRN-BEIG-3x8,19,11,14.25
7506-BRN-BEIG,4' x 5',7500-BRN-BEIG-4x5,17,10,12.75
7507-BRN-BEIG,5' x 7',7500-BRN-BEIG-5x7,35,20,
7500-GRY/BLU,8' x 10',7500-BRN-BEIG-8x10,75,40,
7501-GRY/BLU,2' x 3',7500-GRY/BLU-2x3,5,2.6,
7502-GRY/BLU,2' x 5',7500-GRY/BLU-2X5,9,5,6.75
7503-GRY/BLU,2' x 7',7500-GRY/BLU-2X7,11,6,8.25
7504-GRY/BLU,3' x 5',7500-GRY/BLU-3x5,13,7,
7505-GRY/BLU,3' x 8',7500-GRY/BLU-3x8,19,11,
7506-GRY/BLU,4' x 5',7500-GRY/BLU-4x5,17,10,
7507-GRY/BLU,5' x 7',7500-GRY/BLU-5x7,35,20,
7500-GRY/RED,8' x 10',7500-GRY/BLU-8x10,75,40,
7501-GRY/RED,2' x 3',7500-GRY/RED-2x3,5,2.6,
7502-GRY/RED,2' x 5',7500-GRY/RED-2x5,9,5,6.75
7503-GRY/RED,2' x 7',7500-GRY/RED-2x7,11,6,8.25
7504-GRY/RED,3' x 5',7500-GRY/RED-3x5,13,7,
7505-GRY/RED,3' x 8',7500-GRY/RED-3x8,19,11,
7506-GRY/RED,4' x 5',7500-GRY/RED-4x5,17,10,
7507-GRY/RED,5' x 7',7500-GRY/RED-5x7,35,20,
7501-BRN-BEIGE,8' x 10',7500-GRY/RED-8x10,75,40,
7502-BRN-BEIGE,2' x 3',7501-BRN-BEIGE-2x3,5,2.6,3.75
7503-BRN-BEIGE,2' x 5',7501-BRN-BEIGE-2X5,9,5,6.75
7504-BRN-BEIGE,2' x 7',7501-BRN-BEIGE-2X7,11,6,8.25
7505-BRN-BEIGE,3' x 5',7501-BRN-BEIGE-3X5,13,7,9.75
7506-BRN-BEIGE,3' x 8',7501-BRN-BEIGE-3x8,19,11,14.25
7507-BRN-BEIGE,4' x 5',7501-BRN-BEIGE-4x5,17,10,12.75
7508-BRN-BEIGE,5' x 7',7501-BRN-BEIGE-5x7,35,20,
