"SKU","ProductName","WarehouseName","Loc1","Loc2","Loc3","Loc4","OnHand","ReorderThreshold"
"28657934-000-000","Colibri Shaggy 3D Black/Red Area rug","","","","","","0","0"
"28657935-000-000","Colibri Shaggy 3D Red/Black Area rug","","","","","","0","0"
"29678520-000-000","Solid Orange 2 piece 100% Cotton Hand Towel","","","","","","0","0"
"29680299-000-000","Solid Orange 100% Cotton Bath Towel","","","","","","0","0"
"30779372-000-000","Mckenzie Black/Gray/Yellow Area Rug","","","","","","0","0"
"30779454-000-000","Oriental Classic Red/Black Area Rug","","","","","","0","0"
"30779490-000-000","Portrait Brown/Beige Area Rug","","","","","","0","0"
"32913013-000-000","Large Hallway 1-set 36x96"" Newruz Print Bath Mat Absorbent Soft Kitchen Floor Area Rug Non-slip Carpet Brown-Beige","","","","","","0","0"
"32913147-000-000","Moon Solid Shag Modern Plush Colors and Sizes Gray 8' x 10'","","","","","","0","0"
"32913215-000-000","Tropical Indoor/Outdoor Rugs Flatweave Contemporary Patio, Pool, Camp and Picnic Carpets FW 513 Light Grey/Anthracite 5' x 8'","","","","","","0","0"
"32913248-000-000","Home Indoor/Outdoor Rugs Flatweave Contemporary Patio, Pool, Camp and Picnic Carpets FW 444 Blue/Beige 5' x 8'","","","","","","0","0"
"32913249-000-000","Contemporary Transitional Area Rug Zara 300 Gray 8' x 10'","","","","","","0","0"
"32913370-000-000","Fine Sleek Area Rug MNC 300 Gray 8' x 10'","","","","","","0","0"
"32913596-000-000","Persian Style Traditional Oriental Medallion Area Rug Empire 100 Beige 8' x 10'","","","","","","0","0"
"7512-RED-2x3","Rug Carpet Pad for Living Room Protect Your Floor From Dust, Multi Size & Color[2' x 3',Red-Black]","Inventory Warehouse","A","No","No","No","49","0"
"01810A-BRN-5x7v1","Super Shaggy Brown Area Rug","","","","","","0","0"
"0307-BLC-8x10","Traditional Oriental Medallion Area Rug Persian Style Carpet All Sizes[96"" X 120"",Black]","Inventory Warehouse","A","No","No","No","48","0"
"29736150-000-000","Solid Black 100% Cotton Bath Towel","","","","","","0","0"
"32928801-000-000","Kitchen 3-set 20x30"" + 26x45"" + 20x59"" Newruz Print Bath Mat Absorbent Soft Floor Area Rug Non-slip Carpet Navy-Gray","","","","","","0","0"
"1162-RED-3x8v1","Sun Ray Outline Red Area Rug","","","","","","0","0"
"32913265-000-000","Contemporary Transitional Area Rug Zara 400 Dark Gray 8' x 10'","","","","","","0","0"
"NWR575NVYGRY17.15x18.30","Bath 2-set 17x15"" + 18x30"" Newruz Print Mat Absorbent Soft Floor Area Rug Non-slip Carpet - Blue-Red","","","","","","0","0"
"29679960-000-000","Solid Dark Brown 4 piece 100% Cotton Bath Towel","","","","","","0","0"
"29680951-000-000","Solid Orange 4 piece 100% Cotton Bath Towel","","","","","","0","0"
"32913109-000-000","Festival Indoor/Outdoor Rugs Flatweave Contemporary Patio, Pool, Camp and Picnic Carpets FW 550 Gray 8' x 10'","","","","","","0","0"
"30779419-000-000","Giuliana Dusty Brick Area Rug F 7513 Red-Brown 5' x 7'","","","","","","0","0"
"30779424-000-000","Giuliana Dusty Brick Area Rug F 7513 Red-Brown 3' x 8'","","","","","","0","0"
"29736128-000-000","Solid Pink 100% Cotton Bath Towel","","","","","","0","0"
"32913238-000-000","Tropical Indoor/Outdoor Rugs Flatweave Contemporary Patio, Pool, Camp and Picnic Carpets FW 513 Beige/Blue 5' x 8'","","","","","","0","0"
"29736134-000-000","Solid Lavender 100% Cotton Bath Towel","","","","","","0","0"
"32931171-000-000","Bath 2-set 17x15"" + 18x30"" Newruz Print Mat Absorbent Soft Floor Area Rug Non-slip Carpet Navy-Gray","","","","","","0","0"
"6100-GRY-BLC-3X8","Rug Carpet Pad Protects Floor From Dust & Dirt Particle - Multi Size and Color[Black Gray,3'X8']","","","","","","0","0"
"29736120-000-000","Solid Lavender 4 piece 100% Cotton Bath Towel","","","","","","0","0"
"30779389-000-000","Katelynn Area Rug F 7500 Gray-Blue 4' x 5'","","","","","","0","0"
"32913427-000-000","Piano String Area Rug MNC 100 Blue 8' x 10'","","","","","","0","0"
"29678519-000-000","Solid Orange 4 piece 100% Cotton Hand Towel","","","","","","0","0"
"29680248-000-000","Solid White 100% Cotton Bath Towel","","","","","","0","0"
"1164-BRN-3x8","Wreath Leaf Brown Beige Area Rug Persian Style Carpet Mat All Sizes[36"" X  96""]","Inventory Warehouse","A","No","No","No","40","0"
"1164-BRN-5x7","Wreath Leaf Brown Beige Area Rug Persian Style Carpet Mat All Sizes[60"" X 84""]","Inventory Warehouse","A","No","No","No","170","0"
"7501-RED-BLC-3x8","Area Rug Pad Protects Floor From Dust & Dirt Particle - Multi Size and Color[Red,3'X8']","Inventory Warehouse","A","No","No","No","43","0"
"32913179-000-000","Chevron Indoor/Outdoor Rugs Flatweave Contemporary Patio, Pool, Camp and Picnic Carpets FW 801 Light Gray 4' x 6'","","","","","","0","0"
"32913298-000-000","Contemporary Transitional Area Rug Zara 400 Dark Gray 2' x 3'","","","","","","0","0"
"30779457-000-000","Cylindrical Maroon/Green Area Rug","","","","","","0","0"
"29736140-000-000","Solid Black 2 piece 100% Cotton Bath Towel","","","","","","0","0"
"30779464-000-000","Plaza Red Area Rug","","","","","","0","0"
"30779550-000-000","Home BLUE/BEIGE Indoor/Outdoor Rugs Flatweave Contemporary Patio,Pool,Camp and Picnic Carpets","","","","","","0","0"
"29680300-000-000","Solid Orange 2 piece 100% Cotton Bath Towel","","","","","","0","0"
"29680544-000-000","Solid Orange 100% Cotton Hand Towel","","","","","","0","0"
"30661689-000-000","Alida Lopped Area Rug 6100 Gray-Yellow 5' x 7'","","","","","","0","0"
"32913125-000-000","Festival Indoor/Outdoor Rugs Flatweave Contemporary Patio, Pool, Camp and Picnic Carpets FW 550 Dark Blue 9' x 12'","","","","","","0","0"
"30779693-000-000","Meredosia Oriental Area Rug Nairobi 0307 Gold 2' x 3'","","","","","","0","0"
"30436020-000-000","Portrait Brown/Beige Area Rug","","","","","","0","0"
"30661686-000-000","Portrait Brown/Beige Area Rug","","","","","","0","0"
